Date,Visitor,G,Home,G,,Att.,LOG,Notes
2005-10-05,Montreal Canadiens,2,Boston Bruins,1,,,,
2005-10-05,New York Islanders,4,Buffalo Sabres,6,,,,
2005-10-05,Mighty Ducks of Anaheim,5,Chicago Blackhawks,3,,,,
2005-10-05,Los Angeles Kings,4,Dallas Stars,5,,,,
2005-10-05,St. Louis Blues,1,Detroit Red Wings,5,,,,
2005-10-05,Colorado Avalanche,3,Edmonton Oilers,4,,,,
2005-10-05,Atlanta Thrashers,0,Florida Panthers,2,,,,
2005-10-05,Calgary Flames,3,Minnesota Wild,6,,,,
2005-10-05,Pittsburgh Penguins,1,New Jersey Devils,5,,,,
2005-10-05,San Jose Sharks,2,Nashville Predators,3,,,,
2005-10-05,New York Rangers,5,Philadelphia Flyers,3,,,,
2005-10-05,Carolina Hurricanes,2,Tampa Bay Lightning,5,,,,
2005-10-05,Ottawa Senators,3,Toronto Maple Leafs,2,SO,,,
2005-10-05,Phoenix Coyotes,2,Vancouver Canucks,3,,,,
2005-10-05,Columbus Blue Jackets,2,Washington Capitals,3,,,,
2005-10-06,Phoenix Coyotes,2,Los Angeles Kings,3,,,,
2005-10-06,Montreal Canadiens,4,New York Rangers,3,OT,,,
2005-10-06,Detroit Red Wings,4,St. Louis Blues,3,,,,
2005-10-07,Boston Bruins,1,Buffalo Sabres,4,,,,
2005-10-07,Pittsburgh Penguins,2,Carolina Hurricanes,3,SO,,,
2005-10-07,Calgary Flames,3,Columbus Blue Jackets,1,,,,
2005-10-07,San Jose Sharks,3,Chicago Blackhawks,6,,,,
2005-10-07,Tampa Bay Lightning,0,Florida Panthers,2,,,,
2005-10-07,New Jersey Devils,2,Philadelphia Flyers,5,,,,
2005-10-07,Atlanta Thrashers,7,Washington Capitals,3,,,,
2005-10-08,Washington Capitals,1,Atlanta Thrashers,8,,,,
2005-10-08,Colorado Avalanche,3,Dallas Stars,2,,,,
2005-10-08,Vancouver Canucks,3,Edmonton Oilers,4,SO,,,
2005-10-08,New York Rangers,2,New Jersey Devils,3,OT,,,
2005-10-08,Mighty Ducks of Anaheim,2,Nashville Predators,3,SO,,,
2005-10-08,Carolina Hurricanes,2,New York Islanders,3,,,,
2005-10-08,Buffalo Sabres,0,Ottawa Senators,5,,,,
2005-10-08,Minnesota Wild,1,Phoenix Coyotes,2,,,,
2005-10-08,Boston Bruins,7,Pittsburgh Penguins,6,OT,,,
2005-10-08,San Jose Sharks,7,St. Louis Blues,6,,,,
2005-10-08,Florida Panthers,1,Tampa Bay Lightning,2,,,,
2005-10-08,Montreal Canadiens,5,Toronto Maple Leafs,4,,,,
2005-10-09,Columbus Blue Jackets,3,Chicago Blackhawks,2,,,,
2005-10-09,Calgary Flames,3,Detroit Red Wings,6,,,,
2005-10-09,Minnesota Wild,1,Los Angeles Kings,2,OT,,,
2005-10-10,Pittsburgh Penguins,2,Buffalo Sabres,3,OT,,,
2005-10-10,Calgary Flames,3,Colorado Avalanche,7,,,,
2005-10-10,Vancouver Canucks,4,Detroit Red Wings,2,,,,
2005-10-10,Edmonton Oilers,4,Mighty Ducks of Anaheim,2,,,,
2005-10-10,Florida Panthers,3,New York Islanders,1,,,,
2005-10-10,Toronto Maple Leafs,5,Ottawa Senators,6,SO,,,
2005-10-10,Boston Bruins,4,Tampa Bay Lightning,2,,,,
2005-10-10,New York Rangers,2,Washington Capitals,3,,,,
2005-10-11,Phoenix Coyotes,2,Dallas Stars,3,,,,
2005-10-11,Edmonton Oilers,1,Los Angeles Kings,3,,,,
2005-10-11,Ottawa Senators,4,Montreal Canadiens,2,,,,
2005-10-11,Chicago Blackhawks,1,St. Louis Blues,4,,,,
2005-10-11,Philadelphia Flyers,2,Toronto Maple Leafs,4,,,,
2005-10-12,Montreal Canadiens,2,Atlanta Thrashers,0,,,,
2005-10-12,Washington Capitals,2,Carolina Hurricanes,7,,,,
2005-10-12,Nashville Predators,5,Colorado Avalanche,4,,,,
2005-10-12,Vancouver Canucks,0,Minnesota Wild,6,,,,
2005-10-12,Columbus Blue Jackets,1,San Jose Sharks,4,,,,
2005-10-13,Dallas Stars,3,Calgary Flames,2,OT,,,
2005-10-13,Boston Bruins,5,Florida Panthers,2,,,,
2005-10-13,Detroit Red Wings,5,Los Angeles Kings,2,,,,
2005-10-13,New Jersey Devils,1,New York Rangers,4,,,,
2005-10-13,Nashville Predators,5,Phoenix Coyotes,4,SO,,,
2005-10-13,Buffalo Sabres,4,Tampa Bay Lightning,3,SO,,,
2005-10-13,New York Islanders,5,Washington Capitals,3,,,,
2005-10-14,Toronto Maple Leafs,9,Atlanta Thrashers,1,,,,
2005-10-14,Chicago Blackhawks,3,Colorado Avalanche,2,SO,,,
2005-10-14,Dallas Stars,3,Edmonton Oilers,2,,,,
2005-10-14,Columbus Blue Jackets,3,Mighty Ducks of Anaheim,4,,,,
2005-10-14,Vancouver Canucks,5,Minnesota Wild,3,,,,
2005-10-14,Pittsburgh Penguins,5,Philadelphia Flyers,6,OT,,,
2005-10-15,Edmonton Oilers,0,Calgary Flames,3,,,,
2005-10-15,Buffalo Sabres,2,Florida Panthers,3,,,,
2005-10-15,Toronto Maple Leafs,3,Montreal Canadiens,2,,,,
2005-10-15,Carolina Hurricanes,6,New Jersey Devils,1,,,,
2005-10-15,Atlanta Thrashers,1,New York Rangers,5,,,,
2005-10-15,Boston Bruins,1,Ottawa Senators,5,,,,
2005-10-15,New York Islanders,1,Philadelphia Flyers,5,,,,
2005-10-15,Detroit Red Wings,2,Phoenix Coyotes,0,,,,
2005-10-15,Tampa Bay Lightning,3,Pittsburgh Penguins,1,,,,
2005-10-15,Chicago Blackhawks,3,San Jose Sharks,4,,,,
2005-10-15,Nashville Predators,4,St. Louis Blues,1,,,,
2005-10-16,Columbus Blue Jackets,1,Los Angeles Kings,3,,,,
2005-10-16,Mighty Ducks of Anaheim,1,Minnesota Wild,4,,,,
2005-10-16,Dallas Stars,2,Vancouver Canucks,5,,,,
2005-10-16,Tampa Bay Lightning,2,Washington Capitals,3,SO,,,
2005-10-17,Phoenix Coyotes,2,Calgary Flames,0,,,,
2005-10-17,San Jose Sharks,2,Detroit Red Wings,3,OT,,,
2005-10-17,Florida Panthers,0,New York Rangers,4,,,,
