Date,Visitor,G,Home,G,,Att.,LOG,Notes
2009-10-01,Washington Capitals,4,Boston Bruins,1,,17565,,
2009-10-01,Vancouver Canucks,3,Calgary Flames,5,,19289,,
2009-10-01,San Jose Sharks,2,Colorado Avalanche,5,,18007,,
2009-10-01,Montreal Canadiens,4,Toronto Maple Leafs,3,OT,19617,,
2009-10-02,Philadelphia Flyers,2,Carolina Hurricanes,0,,18680,,
2009-10-02,Florida Panthers,4,Chicago Blackhawks,3,SO,12056,,at Helsinki FI
2009-10-02,St. Louis Blues,4,Detroit Red Wings,3,,13850,,at Stockholm SE
2009-10-02,New York Rangers,2,Pittsburgh Penguins,3,,17132,,
2009-10-03,San Jose Sharks,4,Anaheim Ducks,1,,17281,,
2009-10-03,Tampa Bay Lightning,3,Atlanta Thrashers,6,,18545,,
2009-10-03,Carolina Hurricanes,2,Boston Bruins,7,,16592,,
2009-10-03,Montreal Canadiens,2,Buffalo Sabres,1,OT,18690,,
2009-10-03,Minnesota Wild,1,Columbus Blue Jackets,2,,18159,,
2009-10-03,Vancouver Canucks,0,Colorado Avalanche,3,,13416,,
2009-10-03,Nashville Predators,3,Dallas Stars,2,SO,18532,,
2009-10-03,Calgary Flames,4,Edmonton Oilers,3,,16839,,
2009-10-03,Chicago Blackhawks,4,Florida Panthers,0,,11526,,at Helsinki FI
2009-10-03,Phoenix Coyotes,6,Los Angeles Kings,3,,18118,,
2009-10-03,Philadelphia Flyers,5,New Jersey Devils,2,,17625,,
2009-10-03,Pittsburgh Penguins,4,New York Islanders,3,SO,16234,,
2009-10-03,Ottawa Senators,2,New York Rangers,5,,18200,,
2009-10-03,Detroit Red Wings,3,St. Louis Blues,5,,13850,,at Stockholm SE
2009-10-03,Toronto Maple Leafs,4,Washington Capitals,6,,18277,,
2009-10-05,New York Rangers,3,New Jersey Devils,2,,17625,,
2009-10-05,Columbus Blue Jackets,5,Vancouver Canucks,3,,18810,,
2009-10-06,Tampa Bay Lightning,1,Carolina Hurricanes,2,SO,16186,,
2009-10-06,Montreal Canadiens,3,Calgary Flames,4,,19289,,
2009-10-06,Dallas Stars,4,Edmonton Oilers,5,SO,16839,,
2009-10-06,San Jose Sharks,4,Los Angeles Kings,6,,15035,,
2009-10-06,Anaheim Ducks,3,Minnesota Wild,4,OT,18256,,
2009-10-06,Washington Capitals,5,Philadelphia Flyers,6,OT,19567,,
2009-10-06,Ottawa Senators,2,Toronto Maple Leafs,1,,18830,,
2009-10-07,Phoenix Coyotes,3,Pittsburgh Penguins,0,,16975,,
2009-10-07,Montreal Canadiens,1,Vancouver Canucks,7,,18810,,
2009-10-08,Anaheim Ducks,6,Boston Bruins,1,,16158,,
2009-10-08,Phoenix Coyotes,1,Buffalo Sabres,2,,18690,,
2009-10-08,Chicago Blackhawks,2,Detroit Red Wings,3,,20066,,
2009-10-08,Calgary Flames,4,Edmonton Oilers,3,SO,16839,,
2009-10-08,Minnesota Wild,3,Los Angeles Kings,6,,14995,,
2009-10-08,Colorado Avalanche,2,Nashville Predators,3,,14797,,
2009-10-08,New York Islanders,2,Ottawa Senators,3,OT,18075,,
2009-10-08,Pittsburgh Penguins,5,Philadelphia Flyers,4,,19611,,
2009-10-08,Columbus Blue Jackets,3,San Jose Sharks,6,,17562,,
2009-10-08,Atlanta Thrashers,4,St. Louis Blues,2,,19150,,
2009-10-08,New Jersey Devils,4,Tampa Bay Lightning,3,SO,17454,,
2009-10-08,New York Rangers,4,Washington Capitals,3,,18277,,
2009-10-09,Florida Panthers,2,Carolina Hurricanes,7,,13597,,
2009-10-09,Dallas Stars,5,Calgary Flames,2,,19289,,
2009-10-10,New York Islanders,3,Boston Bruins,4,SO,17113,,
2009-10-10,Colorado Avalanche,3,Chicago Blackhawks,4,SO,20655,,
2009-10-10,Washington Capitals,2,Detroit Red Wings,3,,19122,,
2009-10-10,Montreal Canadiens,2,Edmonton Oilers,3,,16839,,
2009-10-10,New Jersey Devils,3,Florida Panthers,2,,18802,,
2009-10-10,Buffalo Sabres,1,Nashville Predators,0,,14209,,
2009-10-10,Atlanta Thrashers,2,Ottawa Senators,4,,19360,,
2009-10-10,Anaheim Ducks,3,Philadelphia Flyers,2,SO,19603,,
2009-10-10,Columbus Blue Jackets,2,Phoenix Coyotes,0,,17532,,
2009-10-10,Minnesota Wild,2,San Jose Sharks,4,,17562,,
2009-10-10,Los Angeles Kings,2,St. Louis Blues,1,,19150,,
2009-10-10,Carolina Hurricanes,2,Tampa Bay Lightning,5,,14212,,
2009-10-10,Pittsburgh Penguins,5,Toronto Maple Leafs,2,,19374,,
2009-10-11,Anaheim Ducks,0,New York Rangers,3,,18200,,
2009-10-11,Dallas Stars,3,Vancouver Canucks,4,SO,18810,,
2009-10-12,Colorado Avalanche,4,Boston Bruins,3,,16393,,
2009-10-12,Calgary Flames,5,Chicago Blackhawks,6,OT,20074,,
2009-10-12,Edmonton Oilers,6,Nashville Predators,1,,12179,,
2009-10-12,Los Angeles Kings,2,New York Islanders,1,,12145,,
2009-10-12,Toronto Maple Leafs,2,New York Rangers,7,,18200,,
2009-10-12,Pittsburgh Penguins,4,Ottawa Senators,1,,17014,,
2009-10-12,Phoenix Coyotes,1,San Jose Sharks,0,SO,17562,,
2009-10-12,Florida Panthers,2,Tampa Bay Lightning,3,,14126,,
2009-10-12,New Jersey Devils,3,Washington Capitals,2,SO,18277,,
2009-10-13,Detroit Red Wings,2,Buffalo Sabres,6,,17459,,
2009-10-13,Calgary Flames,1,Columbus Blue Jackets,2,,13280,,
2009-10-13,Colorado Avalanche,4,Toronto Maple Leafs,1,,19148,,
2009-10-14,Minnesota Wild,2,Anaheim Ducks,3,,15111,,
2009-10-14,Pittsburgh Penguins,3,Carolina Hurricanes,2,SO,14053,,
2009-10-14,Edmonton Oilers,3,Chicago Blackhawks,4,,20124,,
2009-10-14,Nashville Predators,0,Dallas Stars,6,,16365,,
2009-10-14,Los Angeles Kings,2,New York Rangers,4,,18200,,
2009-10-15,Los Angeles Kings,2,Detroit Red Wings,5,,17782,,
2009-10-15,Colorado Avalanche,3,Montreal Canadiens,2,,21273,,
2009-10-15,Chicago Blackhawks,3,Nashville Predators,1,,13103,,
2009-10-15,Tampa Bay Lightning,1,Ottawa Senators,7,,17732,,
2009-10-15,St. Louis Blues,2,Phoenix Coyotes,3,OT,6899,,
2009-10-15,San Jose Sharks,1,Washington Capitals,4,,18277,,
2009-10-16,New York Islanders,3,Buffalo Sabres,6,,18690,,
2009-10-16,Vancouver Canucks,3,Calgary Flames,5,,19289,,
2009-10-16,Boston Bruins,3,Dallas Stars,0,,17811,,
2009-10-16,Minnesota Wild,2,Edmonton Oilers,5,,16839,,
2009-10-16,Philadelphia Flyers,2,Florida Panthers,4,,15557,,
2009-10-16,Atlanta Thrashers,4,New Jersey Devils,2,,14187,,
2009-10-17,St. Louis Blues,5,Anaheim Ducks,0,,14902,,
2009-10-17,Atlanta Thrashers,4,Buffalo Sabres,2,,18690,,
2009-10-17,Los Angeles Kings,1,Columbus Blue Jackets,4,,15251,,
2009-10-17,Dallas Stars,4,Chicago Blackhawks,3,,20424,,
2009-10-17,Colorado Avalanche,4,Detroit Red Wings,3,SO,19763,,
2009-10-17,Ottawa Senators,3,Montreal Canadiens,1,,21273,,
2009-10-17,Carolina Hurricanes,0,New Jersey Devils,2,,15021,,
2009-10-17,San Jose Sharks,4,New York Islanders,1,,11287,,
2009-10-17,Boston Bruins,1,Phoenix Coyotes,4,,9162,,
2009-10-17,Tampa Bay Lightning,1,Pittsburgh Penguins,4,,17132,,
2009-10-17,New York Rangers,4,Toronto Maple Leafs,1,,19295,,
2009-10-17,Minnesota Wild,1,Vancouver Canucks,2,,18810,,
2009-10-17,Nashville Predators,2,Washington Capitals,3,SO,18277,,
2009-10-19,Los Angeles Kings,4,Dallas Stars,1,,16210,,
2009-10-19,Vancouver Canucks,1,Edmonton Oilers,2,,16839,,
2009-10-19,San Jose Sharks,7,New York Rangers,3,,18200,,
2009-10-20,Columbus Blue Jackets,3,Calgary Flames,6,,19289,,
2009-10-20,Atlanta Thrashers,1,Montreal Canadiens,2,SO,21273,,
2009-10-20,St. Louis Blues,1,Pittsburgh Penguins,5,,17132,,
2009-10-21,Dallas Stars,4,Anaheim Ducks,2,,14503,,
2009-10-21,Nashville Predators,2,Boston Bruins,3,,16715,,
2009-10-21,Vancouver Canucks,3,Chicago Blackhawks,2,,20077,,
2009-10-21,Buffalo Sabres,5,Florida Panthers,2,,12607,,
2009-10-21,Colorado Avalanche,2,Minnesota Wild,3,SO,18175,,
2009-10-21,Carolina Hurricanes,3,New York Islanders,4,SO,9122,,
2009-10-22,Washington Capitals,5,Atlanta Thrashers,4,,13192,,
2009-10-22,Columbus Blue Jackets,4,Edmonton Oilers,6,,16839,,
2009-10-22,Dallas Stars,4,Los Angeles Kings,5,OT,15025,,
2009-10-22,New York Islanders,1,Montreal Canadiens,5,,21273,,
2009-10-22,New Jersey Devils,4,New York Rangers,2,,18200,,
2009-10-22,Nashville Predators,6,Ottawa Senators,5,OT,18970,,
2009-10-22,Boston Bruins,3,Philadelphia Flyers,4,SO,19303,,
2009-10-22,Detroit Red Wings,2,Phoenix Coyotes,3,OT,11938,,
2009-10-22,San Jose Sharks,2,Tampa Bay Lightning,5,,13343,,
2009-10-23,Carolina Hurricanes,4,Colorado Avalanche,5,,13673,,
2009-10-23,Florida Panthers,2,Pittsburgh Penguins,3,SO,16971,,
2009-10-23,Minnesota Wild,1,St. Louis Blues,3,,19150,,
2009-10-24,Columbus Blue Jackets,6,Anaheim Ducks,4,,14468,,
2009-10-24,San Jose Sharks,4,Atlanta Thrashers,3,,14945,,
2009-10-24,Edmonton Oilers,2,Calgary Flames,5,,19289,,
2009-10-24,Nashville Predators,0,Chicago Blackhawks,2,,20272,,
2009-10-24,Detroit Red Wings,1,Colorado Avalanche,3,,17690,,
2009-10-24,Carolina Hurricanes,2,Minnesota Wild,3,OT,18145,,
2009-10-24,New York Rangers,4,Montreal Canadiens,5,OT,21273,,
2009-10-24,Washington Capitals,3,New York Islanders,2,OT,11541,,
2009-10-24,Boston Bruins,4,Ottawa Senators,3,SO,20154,,
2009-10-24,Florida Panthers,1,Philadelphia Flyers,5,,19007,,
2009-10-24,Los Angeles Kings,5,Phoenix Coyotes,3,,7968,,
2009-10-24,New Jersey Devils,4,Pittsburgh Penguins,1,,17132,,
2009-10-24,Dallas Stars,4,St. Louis Blues,1,,19150,,
2009-10-24,Buffalo Sabres,3,Tampa Bay Lightning,2,SO,15804,,
2009-10-24,Toronto Maple Leafs,1,Vancouver Canucks,3,,18810,,
2009-10-25,Columbus Blue Jackets,2,Los Angeles Kings,6,,15820,,
2009-10-25,San Jose Sharks,4,Philadelphia Flyers,1,,19126,,
2009-10-25,Edmonton Oilers,0,Vancouver Canucks,2,,18810,,
2009-10-26,Toronto Maple Leafs,6,Anaheim Ducks,3,,14291,,
2009-10-26,Minnesota Wild,1,Chicago Blackhawks,3,,20046,,
2009-10-26,New York Islanders,2,Montreal Canadiens,3,OT,21273,,
2009-10-26,Phoenix Coyotes,2,New York Rangers,5,,18200,,
2009-10-27,Colorado Avalanche,3,Edmonton Oilers,0,,16839,,
2009-10-27,Detroit Red Wings,5,Vancouver Canucks,4,,18810,,
2009-10-27,Philadelphia Flyers,2,Washington Capitals,4,,18277,,
2009-10-28,St. Louis Blues,5,Carolina Hurricanes,2,,15549,,
2009-10-28,Phoenix Coyotes,4,Columbus Blue Jackets,1,,13184,,
2009-10-28,Colorado Avalanche,3,Calgary Flames,2,,19289,,
2009-10-28,Toronto Maple Leafs,3,Dallas Stars,4,OT,16302,,
2009-10-28,Ottawa Senators,4,Florida Panthers,3,,12596,,
2009-10-28,Nashville Predators,4,Minnesota Wild,3,,18199,,
2009-10-28,Buffalo Sabres,4,New Jersey Devils,1,,14182,,
